ID;Hablante;Texto;ID_Siguiente;Opcion_1;Destino_1;Mod_1;Opcion_2;Destino_2;Mod_2;Opcion_3;Destino_3;Mod_3;Opcion_4;Destino_4;Mod_4
0;NPC;¿Podés hablar? Necesito contarte algo.;-1;Sí, obvio. Contame.;1;15,15,-10;Puedo hablar un rato.;2;5,-5,10;Ahora no puedo.;3;-5,-15,15;;;
1;JUGADOR;Sí, obvio. Contame.;4;;;;;;;;;;;;
2;JUGADOR;Puedo hablar un rato.;5;;;;;;;;;;;;
3;JUGADOR;Ahora no puedo.;6;;;;;;;;;;;;
4;NPC;Gracias. Sabía que podía contar con vos.;7;;;;;;;;;;;;
5;NPC;Bueno... intento resumirlo. Gracias por hacerme un espacio.;7;;;;;;;;;;;;
6;NPC;Está bien. Perdón, igual necesitaba hablar con alguien.;7;;;;;;;;;;;;
7;NPC;Últimamente siento que no puedo sola con todo.;-1;Estoy para vos.;8;15,15,-10;Te escucho, pero necesito cuidarme también.;9;5,-5,15;No puedo hacerme cargo de todo.;10;-10,-15,10;;;
8;JUGADOR;Estoy para vos.;11;;;;;;;;;;;;
9;JUGADOR;Te escucho, pero necesito cuidarme también.;12;;;;;;;;;;;;
10;JUGADOR;No puedo hacerme cargo de todo.;13;;;;;;;;;;;;
11;NPC;Gracias. A veces siento que sos la única persona que me sostiene.;14;;;;;;;;;;;;
12;NPC;Entiendo... me cuesta escucharlo, pero supongo que tenés razón.;14;;;;;;;;;;;;
13;NPC;Bueno. Perdón por molestarte entonces.;14;;;;;;;;;;;;
14;NPC;No quiero cargarte cosas, pero también me duele sentirte tan lejos.;-1;Perdón, voy a estar más presente.;15;15,15,-15;No estoy lejos, solo necesito espacio.;16;0,-5,20;No todo lo que sentís es mi responsabilidad.;17;-10,-20,15;;;
15;JUGADOR;Perdón, voy a estar más presente.;18;;;;;;;;;;;;
16;JUGADOR;No estoy lejos, solo necesito espacio.;19;;;;;;;;;;;;
17;JUGADOR;No todo lo que sentís es mi responsabilidad.;20;;;;;;;;;;;;
18;NPC;Gracias. Me tranquiliza escucharte decir eso.;21;;;;;;;;;;;;
19;NPC;Me cuesta, pero quiero intentar respetarlo.;21;;;;;;;;;;;;
20;NPC;Eso me lastima, pero entiendo que quizás necesitabas decirlo.;21;;;;;;;;;;;;
21;NPC;Creo que las dos estamos aprendiendo a hablar de otra manera.;-1;Sí, podemos aprender juntas.;22;10,10,-10;Sí, pero necesito que sea de a poco.;23;0,-5,15;No sé si quiero seguir hablando ahora.;24;-10,-10,5;;;
22;JUGADOR;Sí, podemos aprender juntas.;25;;;;;;;;;;;;
23;JUGADOR;Sí, pero necesito que sea de a poco.;26;;;;;;;;;;;;
24;JUGADOR;No sé si quiero seguir hablando ahora.;27;;;;;;;;;;;;
25;NPC;Eso me hace bien. Te quiero mucho.;28;;;;;;;;;;;;
26;NPC;Está bien. Gracias por decírmelo sin irte del todo.;28;;;;;;;;;;;;
27;NPC;Está bien. Hablamos en otro momento.;28;;;;;;;;;;;;
